image_id,delta,realization_id,dice,iou,hd95
ISIC_0000040,0.05,1,0.9086,0.8325,79.92
ISIC_0000040,0.05,2,0.9262,0.8625,48.47
ISIC_0000040,0.1,0,0.9066,0.8291,78.83
ISIC_0000040,0.1,1,0.8735,0.7754,107.59
ISIC_0000040,0.1,2,0.8944,0.809,100.01
ISIC_0000040,0.2,0,0.8948,0.8097,107.54
ISIC_0000040,0.2,1,0.6443,0.4752,294.53
ISIC_0000040,0.2,2,0.8809,0.7872,92.93
ISIC_0000041,0.0,0,0.8906,0.8028,33.62
ISIC_0000041,0.05,0,0.8902,0.8022,34.0
ISIC_0000041,0.05,1,0.8969,0.8131,34.0
ISIC_0000041,0.05,2,0.8964,0.8122,34.0
ISIC_0000041,0.1,0,0.8994,0.8172,33.12
ISIC_0000041,0.1,1,0.8845,0.7929,33.94
ISIC_0000041,0.1,2,0.9123,0.8388,32.61
ISIC_0000041,0.2,0,0.9222,0.8556,27.88
ISIC_0000041,0.2,1,0.8622,0.7578,50.99
ISIC_0000041,0.2,2,0.8189,0.6934,96.83
ISIC_0000042,0.0,0,0.9425,0.8912,58.82
ISIC_0000042,0.05,0,0.9426,0.8914,53.47
ISIC_0000042,0.05,1,0.9188,0.8498,58.86
ISIC_0000042,0.05,2,0.9347,0.8774,64.7
ISIC_0000042,0.1,0,0.8755,0.7785,93.01
ISIC_0000042,0.1,1,0.8532,0.744,137.35
ISIC_0000042,0.1,2,0.9004,0.8189,87.1
ISIC_0000042,0.2,0,0.7981,0.6641,185.01
ISIC_0000042,0.2,1,0.8069,0.6763,202.96
ISIC_0000042,0.2,2,0.6833,0.5189,178.78
ISIC_0000043,0.0,0,0.9575,0.9185,50.74
ISIC_0000043,0.05,0,0.9438,0.8937,66.79
ISIC_0000043,0.05,1,0.9611,0.9251,54.36
ISIC_0000043,0.05,2,0.9522,0.9087,61.61
ISIC_0000043,0.1,0,0.9065,0.8289,99.32
ISIC_0000043,0.1,1,0.9327,0.8738,95.27
ISIC_0000043,0.1,2,0.9454,0.8965,63.53
ISIC_0000043,0.2,0,0.7783,0.637,210.61
ISIC_0000043,0.2,1,0.7889,0.6514,315.87
ISIC_0000043,0.2,2,0.8068,0.6761,173.23
ISIC_0000044,0.0,0,0.9882,0.9766,14.21
ISIC_0000044,0.05,0,0.9822,0.9649,20.62
ISIC_0000044,0.05,1,0.9786,0.9581,43.62
ISIC_0000044,0.05,2,0.9731,0.9475,32.99
ISIC_0000044,0.1,0,0.8805,0.7865,149.87
ISIC_0000044,0.1,1,0.9123,0.8387,138.39
ISIC_0000044,0.1,2,0.8475,0.7353,133.99
ISIC_0000044,0.2,0,0.9265,0.863,136.26
ISIC_0000044,0.2,1,0.7396,0.5868,229.77
ISIC_0000044,0.2,2,0.9656,0.9335,29.21
ISIC_0000045,0.0,0,0.9648,0.9321,47.35
ISIC_0000045,0.05,0,0.9465,0.8985,60.21
ISIC_0000045,0.05,1,0.9545,0.9129,42.95
ISIC_0000045,0.05,2,0.9183,0.849,62.08
ISIC_0000045,0.1,0,0.932,0.8726,68.85
ISIC_0000045,0.1,1,0.9363,0.8802,48.02
ISIC_0000045,0.1,2,0.9339,0.8761,62.51
ISIC_0000045,0.2,0,0.8928,0.8064,113.53
ISIC_0000045,0.2,1,0.8919,0.8049,89.49
ISIC_0000045,0.2,2,0.9132,0.8403,90.2
ISIC_0000046,0.0,0,0.9492,0.9032,50.58
ISIC_0000046,0.05,0,0.9324,0.8733,62.65
ISIC_0000046,0.05,1,0.9467,0.8989,45.6
ISIC_0000046,0.05,2,0.9268,0.8635,79.64
ISIC_0000046,0.1,0,0.9435,0.8931,81.6
ISIC_0000046,0.1,1,0.8905,0.8026,98.72
ISIC_0000046,0.1,2,0.9025,0.8222,98.98
ISIC_0000046,0.2,0,0.8712,0.7719,183.8
ISIC_0000046,0.2,1,0.8844,0.7928,131.47
ISIC_0000046,0.2,2,0.9163,0.8456,98.0
ISIC_0000047,0.0,0,0.9728,0.947,25.0
ISIC_0000047,0.05,0,0.9716,0.9448,24.04
ISIC_0000047,0.05,1,0.9707,0.943,26.0
ISIC_0000047,0.05,2,0.9724,0.9463,22.93
ISIC_0000047,0.1,0,0.9439,0.8937,43.83
ISIC_0000047,0.1,1,0.951,0.9067,52.81
ISIC_0000047,0.1,2,0.9118,0.8378,86.58
ISIC_0000047,0.2,0,0.7495,0.5994,145.34
ISIC_0000047,0.2,1,0.8872,0.7972,111.8
ISIC_0000047,0.2,2,0.8718,0.7728,91.23
ISIC_0000048,0.0,0,0.9376,0.8825,35.05
ISIC_0000048,0.05,0,0.9083,0.8321,43.0
ISIC_0000048,0.05,1,0.9589,0.9211,26.41
ISIC_0000048,0.05,2,0.919,0.8501,40.51
ISIC_0000048,0.1,0,0.9034,0.8238,40.17
ISIC_0000048,0.1,1,0.8795,0.785,45.88
ISIC_0000048,0.1,2,0.9489,0.9027,36.35
ISIC_0000048,0.2,0,0.9524,0.9091,34.11
ISIC_0000048,0.2,1,0.8789,0.784,68.12
ISIC_0000048,0.2,2,0.8471,0.7347,73.54
ISIC_0000049,0.0,0,0.8904,0.8024,115.88
ISIC_0000049,0.05,0,0.888,0.7985,115.36
ISIC_0000049,0.05,1,0.9357,0.8792,91.76
ISIC_0000049,0.05,2,0.888,0.7986,116.69
ISIC_0000049,0.1,0,0.897,0.8132,109.57
ISIC_0000049,0.1,1,0.879,0.7841,109.13
ISIC_0000049,0.1,2,0.8059,0.675,228.0
ISIC_0000049,0.2,0,0.8182,0.6923,232.41
ISIC_0000049,0.2,1,0.9017,0.8211,129.85
ISIC_0000049,0.2,2,0.7272,0.5713,349.25
ISIC_0000050,0.0,0,0.9608,0.9246,29.36
ISIC_0000050,0.05,0,0.958,0.9193,35.44
ISIC_0000050,0.05,1,0.9156,0.8444,138.9
ISIC_0000050,0.05,2,0.9731,0.9476,23.67
ISIC_0000050,0.1,0,0.8901,0.8019,150.63
ISIC_0000050,0.1,1,0.896,0.8116,148.45
ISIC_0000050,0.1,2,0.9409,0.8883,67.01
ISIC_0000050,0.2,0,0.6922,0.5292,258.31
ISIC_0000050,0.2,1,0.7477,0.5971,228.38
ISIC_0000050,0.2,2,0.7774,0.6358,175.35
ISIC_0000051,0.0,0,0.9539,0.9119,53.81
ISIC_0000051,0.05,0,0.8912,0.8038,118.89
ISIC_0000051,0.05,1,0.9525,0.9093,48.96
ISIC_0000051,0.05,2,0.9007,0.8193,103.44
ISIC_0000051,0.1,0,0.8917,0.8046,119.01
ISIC_0000051,0.1,1,0.9134,0.8406,98.99
ISIC_0000051,0.1,2,0.9043,0.8252,84.17
ISIC_0000051,0.2,0,0.9209,0.8534,97.08
ISIC_0000051,0.2,1,0.9152,0.8436,82.26
ISIC_0000051,0.2,2,0.8784,0.7831,141.81
ISIC_0000052,0.0,0,0.9809,0.9625,21.56
ISIC_0000052,0.05,0,0.9916,0.9833,12.08
