target,model,contrast_candidate,feature,r_squared,adj_r_squared,raw_coef,std_coef,std_error_ols,std_error_hc3,t_stat_hc3,p_value_hc3,ci_95_hc3_lower,ci_95_hc3_upper,ci_95_boot_lower,ci_95_boot_upper,std_coef_no_influential,vif,bp_hetero_pvalue,jb_normality_pvalue,influential_cases_count,p_value_holm
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_b,fst_medium,0.2782,0.2594,-0.0101,-0.0696,0.0108,0.0111,-0.9072,0.3654441815717515,-0.032,0.0118,-0.031,0.0103,-0.0734,1.48,0.0,0.0,11,0.3654441815717515
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_b,fst_dark,0.2782,0.2594,-0.0077,-0.0496,0.0114,0.0116,-0.6648,0.5069474688422262,-0.0306,0.0152,-0.0304,0.0139,-0.0369,1.44,0.0,0.0,11,0.5069474688422262
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_b,lesion_size,0.2782,0.2594,-1.0942,-0.5183,0.1318,0.3871,-2.8263,0.005206898592618581,-1.8578,-0.3306,-2.2776,-0.6963,-0.6685,1.04,0.0,0.0,11,0.005206898592618581
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_b,artifacts,0.2782,0.2594,0.0036,0.0086,0.0413,0.0357,0.1005,0.9200477644790312,-0.0668,0.074,-0.064,0.0758,0.0126,2.63,0.0,0.0,11,0.9200477644790312
boundary_ambiguity_class_c,Model_1_Univariate,delta_l,delta_l,0.6389,0.637,-0.0121,-0.7993,0.0006,0.0012,-10.0206,0.0,-0.0144,-0.0097,-0.0144,-0.0098,-0.9316,1.0,0.0,0.0,7,0.0
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_l,delta_l,0.9321,0.931,-0.0003,-0.0206,0.0005,0.0004,-0.8063,0.4210707616498679,-0.0011,0.0005,-0.0013,0.0003,0.0028,3.41,0.0,0.0,10,0.4210707616498679
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_l,fst_medium,0.9321,0.931,0.0445,0.0868,0.0125,0.0058,7.6295,1.0342837697407958e-12,0.033,0.056,0.0305,0.0549,0.0928,1.69,0.0,0.0,10,1.0342837697407958e-12
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_l,fst_dark,0.9321,0.931,0.5455,0.9922,0.0219,0.019,28.6418,0.0,0.5079,0.583,0.5012,0.5801,1.0331,4.55,0.0,0.0,10,0.0
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_l,delta_l,0.9351,0.9334,-0.0008,-0.0546,0.0006,0.0012,-0.7033,0.4827217251985598,-0.0031,0.0015,-0.003,0.0008,-0.1024,5.26,0.0,0.0,13,0.4827217251985598
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_l,fst_medium,0.9351,0.9334,0.0363,0.0708,0.0134,0.0176,2.061,0.04064975709400942,0.0016,0.071,0.0036,0.0604,0.0447,2.02,0.0,0.0,13,0.04064975709400942
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_l,fst_dark,0.9351,0.9334,0.5219,0.9493,0.0257,0.0538,9.6947,0.0,0.4157,0.6281,0.4217,0.5975,0.9021,6.44,0.0,0.0,13,0.0
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_l,lesion_size,0.9351,0.9334,0.3734,0.05,0.1395,0.1327,2.8138,0.005405897529620285,0.1117,0.6351,0.1949,0.731,0.0434,1.03,0.0,0.0,13,0.005405897529620285
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_l,artifacts,0.9351,0.9334,-0.0393,-0.0268,0.0338,0.1132,-0.347,0.7289550440518249,-0.2626,0.184,-0.2209,0.1114,-0.0899,1.57,0.0,0.0,13,0.7289550440518249
boundary_ambiguity_class_c,Model_1_Univariate,delta_ita,delta_ita,0.5157,0.5132,-0.0031,-0.7181,0.0002,0.0005,-6.3895,1.1859326853880248e-09,-0.004,-0.0021,-0.0042,-0.0023,-0.9225,1.0,0.0,0.0,8,1.1859326853880248e-09
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_ita,delta_ita,0.9325,0.9315,-0.0001,-0.0345,0.0001,0.0002,-0.9833,0.3266768942146929,-0.0004,0.0001,-0.0005,0.0001,0.0008,2.15,0.0,0.0,11,0.3266768942146929
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_ita,fst_medium,0.9325,0.9315,0.0448,0.0875,0.0115,0.0058,7.7009,6.750155989720952e-13,0.0333,0.0563,0.0319,0.0557,0.0924,1.46,0.0,0.0,11,6.750155989720952e-13
boundary_ambiguity_class_c,Model_2_Controlled_FST,delta_ita,fst_dark,0.9325,0.9315,0.5411,0.9843,0.0171,0.0187,28.9397,0.0,0.5042,0.578,0.4991,0.5752,1.0312,2.78,0.0,0.0,11,0.0
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_ita,delta_ita,0.937,0.9353,-0.0005,-0.1057,0.0002,0.0003,-1.7719,0.0779947742399616,-0.001,0.0001,-0.001,-0.0001,-0.0985,4.52,0.0,0.0,14,0.1559895484799232
boundary_ambiguity_class_c,Model_3_Full_Confounders,delta_ita,fst_medium,0.937,0.9353,0.0335,0.0653,0.0119,0.0113,2.9593,0.003471169154841247,0.0112,0.0557,0.0115,0.0508,0.0566,1.65,0.0,0.0,14,0.003471169154841247
