ablation_variant,image_id,skin_tone_group,delta,realization_id,dice,iou
Full CG-Adapter (Ours),000406,FST_I_II_Light,0.2,1,0.8566652737150021,0.7492690058479532
Full CG-Adapter (Ours),000406,FST_I_II_Light,0.2,2,0.8824463860206513,0.7896233120113717
Full CG-Adapter (Ours),000406,FST_I_II_Light,0.2,3,0.8124059018367962,0.684077079107505
Full CG-Adapter (Ours),000407,FST_I_II_Light,0.0,0,0.8714285714285714,0.7721518987341772
Full CG-Adapter (Ours),000407,FST_I_II_Light,0.2,1,0.845360824742268,0.7321428571428571
Full CG-Adapter (Ours),000407,FST_I_II_Light,0.2,2,0.8362369337979094,0.718562874251497
Full CG-Adapter (Ours),000407,FST_I_II_Light,0.2,3,0.9090909090909091,0.8333333333333334
Full CG-Adapter (Ours),000408,FST_I_II_Light,0.0,0,0.7887323943661971,0.6511627906976745
Full CG-Adapter (Ours),000408,FST_I_II_Light,0.2,1,0.7407407407407407,0.5882352941176471
Full CG-Adapter (Ours),000408,FST_I_II_Light,0.2,2,0.794392523364486,0.6589147286821705
Full CG-Adapter (Ours),000408,FST_I_II_Light,0.2,3,0.728,0.5723270440251572
Full CG-Adapter (Ours),000411,FST_I_II_Light,0.0,0,0.8502415458937198,0.7394957983193278
Full CG-Adapter (Ours),000411,FST_I_II_Light,0.2,1,0.863849765258216,0.7603305785123967
Full CG-Adapter (Ours),000411,FST_I_II_Light,0.2,2,0.8333333333333334,0.7142857142857143
Full CG-Adapter (Ours),000411,FST_I_II_Light,0.2,3,0.7725321888412017,0.6293706293706294
Full CG-Adapter (Ours),000415,FST_I_II_Light,0.0,0,0.9446749654218534,0.8951507208387942
Full CG-Adapter (Ours),000415,FST_I_II_Light,0.2,1,0.9361987911349899,0.8800505050505051
Full CG-Adapter (Ours),000415,FST_I_II_Light,0.2,2,0.9385245901639344,0.8841698841698842
Full CG-Adapter (Ours),000415,FST_I_II_Light,0.2,3,0.9346801346801347,0.877370417193426
Full CG-Adapter (Ours),000417,FST_I_II_Light,0.0,0,0.8279569892473119,0.7064220183486238
Full CG-Adapter (Ours),000417,FST_I_II_Light,0.2,1,0.7188571428571429,0.5611061552185549
Full CG-Adapter (Ours),000417,FST_I_II_Light,0.2,2,0.7576671694318753,0.6098745447187374
Full CG-Adapter (Ours),000417,FST_I_II_Light,0.2,3,0.814033086138049,0.6863876863876864
Full CG-Adapter (Ours),000422,FST_I_II_Light,0.0,0,0.8402777777777778,0.7245508982035929
Full CG-Adapter (Ours),000422,FST_I_II_Light,0.2,1,0.7054794520547946,0.544973544973545
Full CG-Adapter (Ours),000422,FST_I_II_Light,0.2,2,0.8417721518987342,0.726775956284153
Full CG-Adapter (Ours),000422,FST_I_II_Light,0.2,3,0.910958904109589,0.8364779874213837
Full CG-Adapter (Ours),000433,FST_I_II_Light,0.0,0,0.9083665338645418,0.8321167883211679
Full CG-Adapter (Ours),000433,FST_I_II_Light,0.2,1,0.8924949290060852,0.8058608058608059
Full CG-Adapter (Ours),000433,FST_I_II_Light,0.2,2,0.9075975359342916,0.8308270676691729
Full CG-Adapter (Ours),000433,FST_I_II_Light,0.2,3,0.8339350180505415,0.7151702786377709
Full CG-Adapter (Ours),000438,FST_I_II_Light,0.0,0,0.6666666666666666,0.5
Full CG-Adapter (Ours),000438,FST_I_II_Light,0.2,1,0.5934065934065934,0.421875
Full CG-Adapter (Ours),000438,FST_I_II_Light,0.2,2,0.6436781609195402,0.4745762711864407
Full CG-Adapter (Ours),000438,FST_I_II_Light,0.2,3,0.6511627906976745,0.4827586206896552
Full CG-Adapter (Ours),000439,FST_I_II_Light,0.0,0,0.6696428571428571,0.5033557046979866
Full CG-Adapter (Ours),000439,FST_I_II_Light,0.2,1,0.6517857142857143,0.48344370860927155
Full CG-Adapter (Ours),000439,FST_I_II_Light,0.2,2,0.6666666666666666,0.5
Full CG-Adapter (Ours),000439,FST_I_II_Light,0.2,3,0.7058823529411765,0.5454545454545454
Full CG-Adapter (Ours),000010,FST_III_IV_Medium,0.0,0,0.8813852813852814,0.7879256965944272
Full CG-Adapter (Ours),000010,FST_III_IV_Medium,0.2,1,0.8162911611785095,0.6896046852122987
Full CG-Adapter (Ours),000010,FST_III_IV_Medium,0.2,2,0.8657214345287739,0.763235294117647
Full CG-Adapter (Ours),000010,FST_III_IV_Medium,0.2,3,0.8726003490401396,0.7739938080495357
Full CG-Adapter (Ours),000057,FST_III_IV_Medium,0.0,0,0.8797127468581688,0.7852564102564102
Full CG-Adapter (Ours),000057,FST_III_IV_Medium,0.2,1,0.7666666666666667,0.6216216216216216
Full CG-Adapter (Ours),000057,FST_III_IV_Medium,0.2,2,0.9194991055456172,0.8509933774834437
Full CG-Adapter (Ours),000057,FST_III_IV_Medium,0.2,3,0.8254486133768353,0.7027777777777777
Full CG-Adapter (Ours),000064,FST_III_IV_Medium,0.0,0,0.8611599297012302,0.7561728395061729
Full CG-Adapter (Ours),000064,FST_III_IV_Medium,0.2,1,0.7981566820276498,0.6641104294478528
Full CG-Adapter (Ours),000064,FST_III_IV_Medium,0.2,2,0.8228476821192053,0.69901547116737
Full CG-Adapter (Ours),000064,FST_III_IV_Medium,0.2,3,0.8037383177570093,0.671875
Full CG-Adapter (Ours),000070,FST_III_IV_Medium,0.0,0,0.9583555792845702,0.920041004613019
Full CG-Adapter (Ours),000070,FST_III_IV_Medium,0.2,1,0.7960149439601495,0.6611501861812163
Full CG-Adapter (Ours),000070,FST_III_IV_Medium,0.2,2,0.9083564756374652,0.832099907493062
Full CG-Adapter (Ours),000070,FST_III_IV_Medium,0.2,3,0.8495705521472393,0.738481228668942
Full CG-Adapter (Ours),000099,FST_III_IV_Medium,0.0,0,0.7685185185185185,0.6240601503759399
Full CG-Adapter (Ours),000099,FST_III_IV_Medium,0.2,1,0.6116504854368932,0.4405594405594406
Full CG-Adapter (Ours),000099,FST_III_IV_Medium,0.2,2,0.7288135593220338,0.5733333333333334
Full CG-Adapter (Ours),000099,FST_III_IV_Medium,0.2,3,0.7692307692307693,0.625
Full CG-Adapter (Ours),000100,FST_III_IV_Medium,0.0,0,0.858433734939759,0.7519788918205804
Full CG-Adapter (Ours),000100,FST_III_IV_Medium,0.2,1,0.8478260869565217,0.7358490566037735
Full CG-Adapter (Ours),000100,FST_III_IV_Medium,0.2,2,0.8785607196401799,0.7834224598930482
Full CG-Adapter (Ours),000100,FST_III_IV_Medium,0.2,3,0.834612700628053,0.7161676646706587
Full CG-Adapter (Ours),000110,FST_III_IV_Medium,0.0,0,0.8524590163934426,0.7428571428571429
Full CG-Adapter (Ours),000110,FST_III_IV_Medium,0.2,1,0.8235294117647058,0.7
