model,image_id,skin_tone_group,delta,realization_id,dice,iou,hd95,nsd
"Standard Adapter (r=16, E06)",000231,FST_V_VI_Dark,0.05,1,0.7651515151515151,0.6196319018404908,5.024754878398197,0.5373134328358209
"Standard Adapter (r=16, E06)",000231,FST_V_VI_Dark,0.05,2,0.7673568818514007,0.6225296442687747,5.656854249492381,0.55
"Standard Adapter (r=16, E06)",000231,FST_V_VI_Dark,0.05,3,0.7633587786259542,0.6172839506172839,4.47213595499958,0.373134328358209
"Standard Adapter (r=16, E06)",000231,FST_V_VI_Dark,0.1,1,0.7402985074626866,0.5876777251184834,5.0,0.44537815126050423
"Standard Adapter (r=16, E06)",000231,FST_V_VI_Dark,0.1,2,0.7852257181942545,0.6463963963963963,4.683281572999744,0.5572519083969466
"Standard Adapter (r=16, E06)",000231,FST_V_VI_Dark,0.1,3,0.7595561035758323,0.6123260437375746,5.855632066119872,0.5579710144927537
"Standard Adapter (r=16, E06)",000231,FST_V_VI_Dark,0.2,1,0.735191637630662,0.581267217630854,5.124642784226794,0.5161290322580645
"Standard Adapter (r=16, E06)",000231,FST_V_VI_Dark,0.2,2,0.8352,0.717032967032967,3.7355389773943264,0.7441860465116279
"Standard Adapter (r=16, E06)",000231,FST_V_VI_Dark,0.2,3,0.7883211678832117,0.6506024096385542,4.116950344336777,0.575
"Standard Adapter (r=16, E06)",000232,FST_V_VI_Dark,0.0,0,0.8805287239450941,0.7865576748410535,5.656854249492381,0.6529680365296804
"Standard Adapter (r=16, E06)",000232,FST_V_VI_Dark,0.05,1,0.8770697441043652,0.7810545129579982,6.0,0.6470588235294118
"Standard Adapter (r=16, E06)",000232,FST_V_VI_Dark,0.05,2,0.8785714285714286,0.7834394904458599,5.656854249492381,0.6529680365296804
"Standard Adapter (r=16, E06)",000232,FST_V_VI_Dark,0.05,3,0.8801631820499745,0.7859744990892532,5.656854249492381,0.6438356164383562
"Standard Adapter (r=16, E06)",000232,FST_V_VI_Dark,0.1,1,0.8730512249443207,0.7747035573122529,4.030776406404415,0.6026785714285714
"Standard Adapter (r=16, E06)",000232,FST_V_VI_Dark,0.1,2,0.890738813735692,0.8030018761726079,5.0,0.6759259259259259
"Standard Adapter (r=16, E06)",000232,FST_V_VI_Dark,0.1,3,0.8819374369323916,0.7888086642599278,5.88166632639171,0.6591928251121076
"Standard Adapter (r=16, E06)",000232,FST_V_VI_Dark,0.2,1,0.8526981040350025,0.7432203389830508,7.2920366619151595,0.6311111111111111
"Standard Adapter (r=16, E06)",000232,FST_V_VI_Dark,0.2,2,0.8336472065285625,0.7147470398277718,5.994628807889696,0.5833333333333334
"Standard Adapter (r=16, E06)",000232,FST_V_VI_Dark,0.2,3,0.8788335847159376,0.7838565022421524,5.9239283526803845,0.6513761467889908
"Standard Adapter (r=16, E06)",000233,FST_V_VI_Dark,0.0,0,0.7868241143567433,0.6485655737704918,5.0,0.29591836734693877
"Standard Adapter (r=16, E06)",000233,FST_V_VI_Dark,0.05,1,0.7796817625458996,0.6389167502507522,5.0,0.31100478468899523
"Standard Adapter (r=16, E06)",000233,FST_V_VI_Dark,0.05,2,0.8117359413202934,0.6831275720164609,5.0,0.38071065989847713
"Standard Adapter (r=16, E06)",000233,FST_V_VI_Dark,0.05,3,0.7970749542961609,0.662613981762918,5.0,0.3170731707317073
"Standard Adapter (r=16, E06)",000233,FST_V_VI_Dark,0.1,1,0.7799564270152506,0.6392857142857142,7.0710678118654755,0.29017857142857145
"Standard Adapter (r=16, E06)",000233,FST_V_VI_Dark,0.1,2,0.762116991643454,0.6156615661566157,7.0710678118654755,0.26576576576576577
"Standard Adapter (r=16, E06)",000233,FST_V_VI_Dark,0.1,3,0.7933978372225384,0.6575471698113208,5.385164807134504,0.3364485981308411
"Standard Adapter (r=16, E06)",000233,FST_V_VI_Dark,0.2,1,0.7342657342657343,0.580110497237569,10.613420029147264,0.2803030303030303
"Standard Adapter (r=16, E06)",000233,FST_V_VI_Dark,0.2,2,0.7373612823674476,0.583984375,7.0710678118654755,0.36548223350253806
"Standard Adapter (r=16, E06)",000233,FST_V_VI_Dark,0.2,3,0.7119914346895075,0.5527847049044057,9.219544457292887,0.10655737704918032
"Standard Adapter (r=16, E06)",000239,FST_V_VI_Dark,0.0,0,0.620380739081747,0.4496753246753247,7.007106781186547,0.11851851851851852
"Standard Adapter (r=16, E06)",000239,FST_V_VI_Dark,0.05,1,0.5984072810011376,0.42694805194805197,7.615773105863909,0.12030075187969924
"Standard Adapter (r=16, E06)",000239,FST_V_VI_Dark,0.05,2,0.632630410654828,0.46266233766233766,7.0,0.13432835820895522
"Standard Adapter (r=16, E06)",000239,FST_V_VI_Dark,0.05,3,0.6126126126126126,0.44155844155844154,7.313676210938855,0.13432835820895522
"Standard Adapter (r=16, E06)",000239,FST_V_VI_Dark,0.1,1,0.6031746031746031,0.4318181818181818,7.810249675906654,0.15151515151515152
"Standard Adapter (r=16, E06)",000239,FST_V_VI_Dark,0.1,2,0.601589103291714,0.4301948051948052,7.6541957952775155,0.15151515151515152
"Standard Adapter (r=16, E06)",000239,FST_V_VI_Dark,0.1,3,0.6280623608017817,0.4577922077922078,7.085071285771725,0.15151515151515152
"Standard Adapter (r=16, E06)",000239,FST_V_VI_Dark,0.2,1,0.6157303370786517,0.4448051948051948,6.0,0.0
"Standard Adapter (r=16, E06)",000239,FST_V_VI_Dark,0.2,2,0.6919831223628692,0.5290322580645161,5.0,0.22666666666666666
"Standard Adapter (r=16, E06)",000239,FST_V_VI_Dark,0.2,3,0.7058823529411765,0.5454545454545454,6.0,0.2898550724637681
"Standard Adapter (r=16, E06)",000241,FST_V_VI_Dark,0.0,0,0.8636363636363636,0.76,5.0,0.46757679180887374
"Standard Adapter (r=16, E06)",000241,FST_V_VI_Dark,0.05,1,0.8619902120717782,0.757454128440367,6.0,0.4186851211072664
"Standard Adapter (r=16, E06)",000241,FST_V_VI_Dark,0.05,2,0.8567084758646902,0.7493351063829787,5.054460732476032,0.5038167938931297
"Standard Adapter (r=16, E06)",000241,FST_V_VI_Dark,0.05,3,0.8553415061295973,0.7472460220318238,5.796132365774714,0.48484848484848486
"Standard Adapter (r=16, E06)",000241,FST_V_VI_Dark,0.1,1,0.7995874871089722,0.6660939289805269,8.0,0.2568493150684932
"Standard Adapter (r=16, E06)",000241,FST_V_VI_Dark,0.1,2,0.7584715212689257,0.610917537746806,8.06225774829855,0.1062992125984252
"Standard Adapter (r=16, E06)",000241,FST_V_VI_Dark,0.1,3,0.8101884159106769,0.6809384164222874,7.393204300649142,0.3473282442748092
"Standard Adapter (r=16, E06)",000241,FST_V_VI_Dark,0.2,1,0.7838449111470113,0.6445270988310308,9.0,0.25806451612903225
"Standard Adapter (r=16, E06)",000241,FST_V_VI_Dark,0.2,2,0.8247863247863247,0.7018181818181818,7.615773105863909,0.328719723183391
"Standard Adapter (r=16, E06)",000241,FST_V_VI_Dark,0.2,3,0.7876802096985583,0.6497297297297298,6.54041010021278,0.15185185185185185
"Standard Adapter (r=16, E06)",000242,FST_V_VI_Dark,0.0,0,0.22369460823050272,0.12593251659708438,49.80205988923927,0.13173076923076923
"Standard Adapter (r=16, E06)",000242,FST_V_VI_Dark,0.05,1,0.21978410900725534,0.12345924453280319,49.82522746772448,0.12625250501002003
"Standard Adapter (r=16, E06)",000242,FST_V_VI_Dark,0.05,2,0.2174641148325359,0.12199704737619112,49.193495504995376,0.10568295114656032
"Standard Adapter (r=16, E06)",000242,FST_V_VI_Dark,0.05,3,0.22181618856203178,0.12474311549527332,52.509476233975484,0.0979431929480901
"Standard Adapter (r=16, E06)",000242,FST_V_VI_Dark,0.1,1,0.23448005744500294,0.13281076684167714,59.1412452556679,0.059628543499511244
"Standard Adapter (r=16, E06)",000242,FST_V_VI_Dark,0.1,2,0.1954952175254551,0.10833732302852062,51.894122981316485,0.11866125760649088
"Standard Adapter (r=16, E06)",000242,FST_V_VI_Dark,0.1,3,0.19101123595505617,0.10559006211180125,60.34544463697309,0.04814814814814815
"Standard Adapter (r=16, E06)",000242,FST_V_VI_Dark,0.2,1,0.2383142288420619,0.13527624094132315,58.167857206307154,0.10699588477366255
"Standard Adapter (r=16, E06)",000242,FST_V_VI_Dark,0.2,2,0.13898480662983426,0.07468225252806383,77.86298607189593,0.05110132158590308
"Standard Adapter (r=16, E06)",000242,FST_V_VI_Dark,0.2,3,0.17971110012632505,0.09872669120753123,57.64145648564744,0.002014098690835851
"Standard Adapter (r=16, E06)",000246,FST_V_VI_Dark,0.0,0,0.9197080291970803,0.8513513513513513,2.0,1.0
"Standard Adapter (r=16, E06)",000246,FST_V_VI_Dark,0.05,1,0.8894117647058823,0.8008474576271186,3.0,0.8958333333333334
"Standard Adapter (r=16, E06)",000246,FST_V_VI_Dark,0.05,2,0.9197080291970803,0.8513513513513513,2.0,1.0
"Standard Adapter (r=16, E06)",000246,FST_V_VI_Dark,0.05,3,0.9454545454545454,0.896551724137931,1.0,1.0
"Standard Adapter (r=16, E06)",000246,FST_V_VI_Dark,0.1,1,0.9197080291970803,0.8513513513513513,2.0,1.0
"Standard Adapter (r=16, E06)",000246,FST_V_VI_Dark,0.1,2,0.8764568764568764,0.7800829875518672,3.0,0.8571428571428571
"Standard Adapter (r=16, E06)",000246,FST_V_VI_Dark,0.1,3,0.9057591623036649,0.8277511961722488,2.0,1.0
"Standard Adapter (r=16, E06)",000246,FST_V_VI_Dark,0.2,1,0.8888888888888888,0.8,2.0,1.0
"Standard Adapter (r=16, E06)",000246,FST_V_VI_Dark,0.2,2,0.9043927648578811,0.8254716981132075,2.0,1.0
"Standard Adapter (r=16, E06)",000246,FST_V_VI_Dark,0.2,3,0.8494623655913979,0.7383177570093458,2.961803398874986,0.8539325842696629
"Standard Adapter (r=16, E06)",000247,FST_V_VI_Dark,0.0,0,0.7272727272727273,0.5714285714285714,6.744490320435978,0.5714285714285714
"Standard Adapter (r=16, E06)",000247,FST_V_VI_Dark,0.05,1,0.7518796992481203,0.6024096385542169,6.708203932499369,0.6545454545454545
"Standard Adapter (r=16, E06)",000247,FST_V_VI_Dark,0.05,2,0.7115384615384616,0.5522388059701493,7.0,0.5545454545454546
"Standard Adapter (r=16, E06)",000247,FST_V_VI_Dark,0.05,3,0.7043795620437956,0.543661971830986,7.218003284763232,0.5446428571428571
"Standard Adapter (r=16, E06)",000247,FST_V_VI_Dark,0.1,1,0.8148148148148148,0.6875,5.074264635194588,0.752
"Standard Adapter (r=16, E06)",000247,FST_V_VI_Dark,0.1,2,0.7185185185185186,0.5606936416184971,8.080653098592226,0.6126126126126126
"Standard Adapter (r=16, E06)",000247,FST_V_VI_Dark,0.1,3,0.7531083481349912,0.603988603988604,5.156248572301127,0.5689655172413793
"Standard Adapter (r=16, E06)",000247,FST_V_VI_Dark,0.2,1,0.7172131147540983,0.5591054313099042,8.558707682543996,0.7047619047619048
"Standard Adapter (r=16, E06)",000247,FST_V_VI_Dark,0.2,2,0.685370741482966,0.5213414634146342,6.210960958218893,0.48598130841121495
"Standard Adapter (r=16, E06)",000247,FST_V_VI_Dark,0.2,3,0.6866267465069861,0.5227963525835866,6.194733192202054,0.49074074074074076
"CG-Adapter (Ours, E07)",000044,FST_I_II_Light,0.0,0,0.9341317365269461,0.8764044943820225,5.0,0.679144385026738
"CG-Adapter (Ours, E07)",000044,FST_I_II_Light,0.05,1,0.9186880765288692,0.849605055292259,5.84785670536077,0.5947368421052631
"CG-Adapter (Ours, E07)",000044,FST_I_II_Light,0.05,2,0.8635057471264368,0.7597977243994943,8.246211251235321,0.3194805194805195
"CG-Adapter (Ours, E07)",000044,FST_I_II_Light,0.05,3,0.894746476295076,0.8095395826432593,6.0,0.4838709677419355
